
and for error debugging this is the data i got from the supabase so it would be usefull 
| grantor  | grantee       | table_catalog | table_schema | table_name          | privilege_type | is_grantable | with_hierarchy |
| postgres | authenticated | postgres      | public       | role_transfers      | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | role_transfers      | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | role_transfers      | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | role_transfers      | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | sync_logs           | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | sync_logs           | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | sync_logs           | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | sync_logs           | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | sync_logs           | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | sync_logs           | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | sync_logs           | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | sync_logs           | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | admin_logs          | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | admin_logs          | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | admin_logs          | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | admin_logs          | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | admin_logs          | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | admin_logs          | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | admin_logs          | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | admin_logs          | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | attendance_sessions | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_sessions | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | attendance_sessions | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_sessions | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | attendance_sessions | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_sessions | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | attendance_sessions | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_sessions | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | users               | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | users               | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | users               | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | users               | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | users               | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | users               | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | users               | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | users               | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | users               | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | users               | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | users               | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | users               | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | users               | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | users               | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | users               | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | users               | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | users               | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | users               | TRIGGER        | NO           | NO             |

